,Word,Sentiment
0,abl,1
1,abnorm,-1
2,abrupt,-1
3,absorb,1
5,abund,-1
6,accept,1
7,achiev,1
8,adequ,1
9,advers,-1
11,aggrav,-1
13,ail,-1
14,alarm,-1
15,allevi,1
16,anxieti,-1
17,arrear,-1
18,bad,-1
19,benefici,1
20,benefit,1
22,benign,1
23,better,1
24,brighter,1
25,broaden,1
26,buoyanc,1
27,burden,-1
28,calm,1
29,challeng,-1
30,closur,-1
31,cloud,-1
32,comfort,1
33,compromis,-1
34,concern,-1
35,confid,1
36,confin,1
37,confront,-1
38,constrain,-1
39,contagion,-1
40,contain,1
41,contract,-1
43,correct,-1
44,cost,-1
45,damag,-1
46,danger,-1
48,declin,-1
49,deep,-1
50,deepli,-1
51,default,-1
52,defici,-1
53,deficit,-1
54,delay,-1
55,delinqu,-1
56,dent,-1
57,depress,-1
59,destabilis,-1
60,destabil,-1
61,deterior,-1
63,detriment,-1
64,difficult,-1
65,difficulti,-1
66,disappoint,-1
67,discourag,-1
68,disord,-1
69,disrupt,-1
72,distort,-1
73,distress,-1
75,distrust,-1
76,disturb,-1
77,doubt,-1
78,downgrad,-1
79,downsid,-1
80,downsw,-1
81,downturn,-1
82,downward,-1
83,drag,-1
84,drastic,-1
85,drop,-1
86,dri,-1
87,effect,1
88,effici,1
89,enabl,1
90,endang,-1
91,enhanc,1
92,enjoy,1
93,erod,-1
94,eros,-1
95,escal,-1
97,exacerb,-1
98,excel,1
99,excess,-1
100,exhaust,-1
101,expos,-1
102,fail,-1
104,failur,-1
105,falter,-1
106,favor,1
108,favour,1
110,fear,-1
111,forc,-1
112,fragil,-1
114,gain,1
115,gloomi,-1
116,good,1
117,grow,1
118,hamper,-1
119,headwind,-1
120,healthi,1
121,hinder,-1
123,hurt,-1
124,illiquid,-1
126,imbal,-1
127,impair,-1
130,imped,-1
131,impedi,-1
132,improv,1
135,inabl,-1
136,inadequ,-1
137,ineffect,-1
138,ineffici,-1
139,insolv,-1
141,instabl,-1
142,insuffici,-1
144,jeopardis,-1
146,jeopard,-1
147,lacklust,-1
148,lacklustr,-1
149,lag,-1
150,lose,-1
151,loss,-1
152,misalign,-1
153,misconduct,-1
154,mispric,-1
155,mitig,1
158,negat,-1
160,nervous,-1
161,nonperform,-1
162,opportun,1
163,optim,1
164,outperform,1
165,overcapac,-1
166,overheat,-1
167,overindebt,-1
168,overvalu,-1
169,pessim,-1
170,pessimist,-1
171,plummet,-1
172,plung,-1
173,poor,-1
174,poorer,-1
176,pose,-1
177,posit,1
179,prevent,1
180,problem,-1
181,problemat,-1
182,profit,1
183,prolong,-1
184,protection,-1
185,protract,-1
186,question,-1
187,ralli,1
188,reassur,1
189,rebound,1
190,recess,-1
191,recoup,1
192,recov,1
193,recoveri,1
194,regain,1
195,reopen,1
196,repercuss,-1
197,resili,1
198,resolv,1
199,restructur,-1
200,resurfac,-1
201,riskier,-1
202,setback,-1
203,sever,-1
205,shaken,-1
206,shelter,1
207,shortag,-1
208,shortfal,-1
209,shrank,-1
210,shrink,-1
211,shrunk,-1
212,slid,-1
213,slide,-1
214,slip,-1
215,slowdown,-1
216,sluggish,-1
218,slump,-1
219,smooth,1
221,solid,1
222,sound,1
223,sounder,1
224,spill,-1
225,spillov,-1
226,spiral,-1
227,squeez,-1
228,stabilis,1
229,stabil,1
230,stabl,1
231,stagnant,-1
232,stagnat,-1
234,strain,-1
235,strengthen,1
236,stress,-1
237,struggl,-1
238,succeed,1
239,success,1
242,suffer,-1
243,suscept,-1
245,tens,-1
246,tension,-1
247,tepid,-1
248,threat,-1
249,threaten,-1
250,tough,-1
251,troubl,-1
252,tumbl,-1
253,turbul,-1
255,turmoil,-1
256,unabl,-1
257,undermin,-1
259,underperform,-1
261,undesir,-1
262,uneas,-1
263,unemploy,-1
264,unexpect,-1
265,unfavor,-1
266,unfavour,-1
267,unresolv,-1
268,unrest,-1
269,unstabl,-1
270,unsustain,-1
271,upgrad,1
272,upsw,1
273,volatil,-1
275,vulner,-1
277,weaken,-1
278,weaker,-1
279,weak,-1
281,withstand,1
282,worri,-1
283,worrisom,-1
284,worsen,-1
285,writedown,-1
